"TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GP","W","L","MIN","POINTS","DRIVE_PTS","DRIVE_FG_PCT","CATCH_SHOOT_PTS","CATCH_SHOOT_FG_PCT","PULL_UP_PTS","PULL_UP_FG_PCT","PAINT_TOUCH_PTS","PAINT_TOUCH_FG_PCT","POST_TOUCH_PTS","POST_TOUCH_FG_PCT","ELBOW_TOUCH_PTS","ELBOW_TOUCH_FG_PCT","EFF_FG_PCT","year"
"1610612737","ATL","Atlanta Hawks","81","38","43",241.9,100.9,16.5,0.415,32.6,0.407,12.8,0.35,18.6,0.618,5.5,0.495,7.9,0.529,0.515,"2013-14"
"1610612738","BOS","Boston Celtics","82","25","57",240.6,96.2,13.8,0.419,28.1,0.388,16.5,0.367,20,0.576,8.8,0.449,6.2,0.532,0.477,"2013-14"
"1610612751","BKN","Brooklyn Nets","81","43","38",242.5,98.2,18.2,0.442,28.1,0.392,16.3,0.391,17.8,0.589,7.8,0.491,5.2,0.538,0.512,"2013-14"
"1610612766","CHA","Charlotte Bobcats","81","42","39",242.8,96.8,16.7,0.413,25,0.366,16,0.366,16.8,0.612,11.3,0.489,6.1,0.486,0.48,"2013-14"
"1610612741","CHI","Chicago Bulls","82","48","34",243.1,93.7,11.5,0.387,26.7,0.387,13.2,0.355,22.1,0.546,8.5,0.399,8.4,0.486,0.471,"2013-14"
"1610612739","CLE","Cleveland Cavaliers","82","33","49",243.1,98.2,18.4,0.447,23.7,0.381,21,0.389,17,0.533,5.5,0.408,7,0.523,0.479,"2013-14"
"1610612742","DAL","Dallas Mavericks","82","49","33",241.8,104.8,15.6,0.444,31,0.424,19,0.396,20.1,0.624,8.4,0.494,8.7,0.549,0.526,"2013-14"
"1610612743","DEN","Denver Nuggets","82","36","46",240.9,104.4,18,0.428,25.9,0.374,15,0.346,24.1,0.559,5.9,0.423,8,0.52,0.497,"2013-14"
"1610612765","DET","Detroit Pistons","82","29","53",241.2,101,17.9,0.427,19.2,0.337,14.5,0.346,25.4,0.596,8.6,0.439,6.6,0.547,0.482,"2013-14"
"1610612744","GSW","Golden State Warriors","81","50","31",241.9,104.1,13.7,0.428,26,0.402,20.7,0.387,19.3,0.603,9.1,0.468,7.2,0.538,0.516,"2013-14"
