"TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GP","W","L","MIN","POINTS","DRIVE_PTS","DRIVE_FG_PCT","CATCH_SHOOT_PTS","CATCH_SHOOT_FG_PCT","PULL_UP_PTS","PULL_UP_FG_PCT","PAINT_TOUCH_PTS","PAINT_TOUCH_FG_PCT","POST_TOUCH_PTS","POST_TOUCH_FG_PCT","ELBOW_TOUCH_PTS","ELBOW_TOUCH_FG_PCT","EFF_FG_PCT","year"
"1610612737","ATL","Atlanta Hawks","82","40","42",241.2,118.2,25.5,0.474,31.1,0.375,17.9,0.365,23.5,0.622,1.1,0.449,7.7,0.626,0.546,"2024-25"
"1610612738","BOS","Boston Celtics","82","61","21",241.8,116.3,22.5,0.551,37.3,0.391,25,0.367,18.4,0.658,4.9,0.518,4.9,0.571,0.561,"2024-25"
"1610612751","BKN","Brooklyn Nets","82","26","56",241.2,105.1,26.5,0.453,34.3,0.361,14.2,0.35,16.6,0.616,1.3,0.443,4.4,0.533,0.516,"2024-25"
"1610612766","CHA","Charlotte Hornets","82","19","63",240.9,105.1,26.7,0.431,28.4,0.358,20.3,0.333,19.1,0.64,1.4,0.437,5.5,0.536,0.503,"2024-25"
"1610612741","CHI","Chicago Bulls","82","39","43",240.9,117.8,27.3,0.502,37.5,0.374,17.2,0.382,16.1,0.652,2.3,0.497,5.9,0.666,0.553,"2024-25"
"1610612739","CLE","Cleveland Cavaliers","82","64","18",240.9,121.9,28.5,0.518,33.6,0.395,23.6,0.394,21.6,0.722,1.6,0.654,7.5,0.647,0.578,"2024-25"
"1610612742","DAL","Dallas Mavericks","82","39","43",240.6,114.2,31.2,0.498,27.6,0.391,22.7,0.38,19.3,0.708,2.3,0.452,5.4,0.644,0.549,"2024-25"
"1610612743","DEN","Denver Nuggets","82","50","32",242.1,120.8,20.5,0.505,29.5,0.395,17.4,0.384,29.8,0.678,5.8,0.572,10.9,0.629,0.573,"2024-25"
"1610612765","DET","Detroit Pistons","82","44","38",241.5,115.5,27.6,0.487,29,0.379,20.9,0.378,20.2,0.676,3.2,0.537,6.2,0.626,0.547,"2024-25"
"1610612744","GSW","Golden State Warriors","82","48","34",240.6,113.8,20.6,0.448,35.4,0.373,19.4,0.363,19.4,0.622,1.4,0.47,5.8,0.566,0.536,"2024-25"
"1610612745","HOU","Houston Rockets","82","52","30",241.2,114.3,24.8,0.466,29.6,0.379,21.2,0.356,19.7,0.612,4,0.519,6.6,0.547,0.523,"2024-25"
"1610612754","IND","Indiana Pacers","82","50","32",242.1,117.4,28.3,0.525,31.5,0.396,23.3,0.398,20,0.667,4.4,0.561,6.7,0.601,0.562,"2024-25"
"1610612746","LAC","LA Clippers","82","50","32",241.5,112.9,26.4,0.482,25.5,0.404,24,0.378,20.5,0.654,4.1,0.587,6.5,0.586,0.554,"2024-25"
"1610612747","LAL","Los Angeles Lakers","82","50","32",240.6,113.4,25.3,0.5,30.8,0.382,20.9,0.377,19.4,0.691,3.5,0.456,5.9,0.56,0.557,"2024-25"
"1610612763","MEM","Memphis Grizzlies","82","48","34",240.3,121.7,32.3,0.496,34.1,0.38,17.4,0.403,21,0.663,3,0.558,4.9,0.571,0.554,"2024-25"
"1610612748","MIA","Miami Heat","82","37","45",243.1,110.6,26.4,0.494,32.1,0.382,20.7,0.396,17.9,0.633,2.3,0.399,5.3,0.528,0.544,"2024-25"
"1610612749","MIL","Milwaukee Bucks","82","48","34",240.9,115.5,24.5,0.513,33.9,0.405,23,0.403,15.9,0.68,4.5,0.517,5,0.632,0.568,"2024-25"
"1610612750","MIN","Minnesota Timberwolves","82","49","33",241.8,114.3,27.6,0.477,29.5,0.384,24,0.373,18.1,0.663,2.1,0.464,4.8,0.612,0.554,"2024-25"
"1610612740","NOP","New Orleans Pelicans","82","21","61",240.9,109.8,28.8,0.447,27.8,0.372,21.3,0.366,17.7,0.631,1.4,0.5,5.7,0.598,0.519,"2024-25"
"1610612752","NYK","New York Knicks","82","51","31",242.4,115.8,29.5,0.505,28.9,0.388,22.6,0.402,19.2,0.663,3.5,0.52,5.9,0.605,0.556,"2024-25"
"1610612760","OKC","Oklahoma City Thunder","82","68","14",240.3,120.5,32.9,0.508,36.4,0.405,24.3,0.406,16.5,0.68,0.7,0.39,5.7,0.583,0.56,"2024-25"
"1610612753","ORL","Orlando Magic","82","41","41",240.6,105.4,25.6,0.469,27.3,0.335,18.3,0.361,19,0.664,1.7,0.48,5.9,0.57,0.51,"2024-25"
"1610612755","PHI","Philadelphia 76ers","82","24","58",241.5,109.6,29.7,0.498,27.9,0.362,21.7,0.368,14.4,0.614,2.5,0.518,4,0.587,0.527,"2024-25"
"1610612756","PHX","Phoenix Suns","82","36","46",241.8,113.6,27,0.512,37.6,0.409,25.5,0.429,13.7,0.638,1.8,0.425,5.9,0.573,0.561,"2024-25"
"1610612757","POR","Portland Trail Blazers","82","36","46",241.2,110.9,29.6,0.472,30,0.351,18.1,0.367,19.1,0.625,0.9,0.5,4.5,0.55,0.521,"2024-25"
"1610612758","SAC","Sacramento Kings","82","40","42",242.4,115.7,26.2,0.516,31.5,0.375,25.1,0.418,19.6,0.66,4.3,0.52,6.5,0.589,0.548,"2024-25"
"1610612759","SAS","San Antonio Spurs","82","34","48",240.6,113.9,26,0.489,33.7,0.369,19.6,0.379,18.8,0.655,2,0.524,6.2,0.587,0.544,"2024-25"
"1610612761","TOR","Toronto Raptors","82","30","52",241.5,110.9,23.6,0.444,32.1,0.372,14.8,0.37,24.4,0.622,2.3,0.487,8.3,0.568,0.522,"2024-25"
"1610612762","UTA","Utah Jazz","82","17","65",241.5,111.9,26.7,0.464,31.5,0.362,18.1,0.353,20.8,0.661,1.4,0.494,5.9,0.555,0.533,"2024-25"
"1610612764","WAS","Washington Wizards","82","18","64",240.6,108,24.6,0.451,29.6,0.343,19.2,0.352,17.6,0.621,1.9,0.522,6.7,0.532,0.512,"2024-25"
