"TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GP","W","L","MIN","POINTS","DRIVE_PTS","DRIVE_FG_PCT","CATCH_SHOOT_PTS","CATCH_SHOOT_FG_PCT","PULL_UP_PTS","PULL_UP_FG_PCT","PAINT_TOUCH_PTS","PAINT_TOUCH_FG_PCT","POST_TOUCH_PTS","POST_TOUCH_FG_PCT","ELBOW_TOUCH_PTS","ELBOW_TOUCH_FG_PCT","EFF_FG_PCT","year"
"1610612737","ATL","Atlanta Hawks","82","41","41",242.1,118.4,28.9,0.48,24.7,0.363,27.5,0.43,23.4,0.676,2.8,0.513,6.3,0.615,0.541,"2022-23"
"1610612738","BOS","Boston Celtics","82","57","25",243.7,117.9,28.2,0.526,37.5,0.393,19.5,0.373,16.2,0.667,2.4,0.529,5.2,0.6,0.566,"2022-23"
"1610612751","BKN","Brooklyn Nets","82","45","37",240.6,113.4,27.1,0.504,30.2,0.399,26.7,0.444,16.8,0.705,1.8,0.504,5,0.591,0.562,"2022-23"
"1610612766","CHA","Charlotte Hornets","82","27","55",241.8,111,27.6,0.453,24.5,0.347,20.1,0.364,21.5,0.638,2.2,0.471,6.1,0.53,0.516,"2022-23"
"1610612741","CHI","Chicago Bulls","81","39","42",242.8,113,26.5,0.536,29.2,0.387,21.8,0.411,16.8,0.663,5.3,0.561,6.3,0.593,0.55,"2022-23"
"1610612739","CLE","Cleveland Cavaliers","82","51","31",242.4,112.3,26.9,0.499,23.9,0.358,22.2,0.407,23,0.682,2.3,0.435,7.3,0.593,0.556,"2022-23"
"1610612742","DAL","Dallas Mavericks","82","38","44",243.1,114.2,29.7,0.547,33.3,0.387,22.4,0.388,14.7,0.701,4.3,0.573,4.3,0.649,0.565,"2022-23"
"1610612743","DEN","Denver Nuggets","82","53","29",240.9,115.8,19.9,0.492,28.8,0.397,18.9,0.375,26.9,0.705,6.9,0.569,9.9,0.651,0.573,"2022-23"
"1610612765","DET","Detroit Pistons","81","17","64",241.5,110.3,26.4,0.457,27.2,0.373,22.4,0.384,19.2,0.624,3.1,0.409,5.8,0.596,0.521,"2022-23"
"1610612744","GSW","Golden State Warriors","81","43","38",241.9,118.6,20.1,0.505,38.5,0.392,21.6,0.384,18.4,0.648,1.4,0.495,6.8,0.651,0.57,"2022-23"
"1610612745","HOU","Houston Rockets","82","22","60",240.9,110.7,29.5,0.468,21.9,0.328,18.7,0.367,20.8,0.618,3.8,0.543,6.3,0.51,0.516,"2022-23"
"1610612754","IND","Indiana Pacers","82","35","47",240.9,116.3,29.7,0.488,29.3,0.365,21.3,0.398,19.2,0.643,2.1,0.489,6.4,0.597,0.545,"2022-23"
"1610612746","LAC","LA Clippers","82","44","38",241.8,113.6,26.3,0.506,30.8,0.394,23.9,0.41,17.7,0.648,4.6,0.56,6.2,0.585,0.551,"2022-23"
"1610612747","LAL","Los Angeles Lakers","82","43","39",242.4,117.2,25,0.502,28.4,0.365,17.9,0.375,23.9,0.673,4.9,0.486,7.6,0.584,0.542,"2022-23"
"1610612763","MEM","Memphis Grizzlies","82","51","31",241.2,116.9,31.3,0.481,27.9,0.362,19.8,0.391,21.6,0.67,2.9,0.565,7,0.583,0.54,"2022-23"
"1610612748","MIA","Miami Heat","82","44","38",241.5,109.5,25.1,0.497,28.5,0.357,22,0.403,18.9,0.623,3,0.463,7.9,0.601,0.53,"2022-23"
"1610612749","MIL","Milwaukee Bucks","82","58","24",241.8,116.9,24.6,0.526,34.9,0.382,22.1,0.381,19.5,0.679,5.8,0.511,5.3,0.574,0.555,"2022-23"
"1610612750","MIN","Minnesota Timberwolves","81","41","40",241.9,115.3,31.6,0.518,26.4,0.379,20.1,0.385,20,0.686,2.6,0.497,6.1,0.634,0.558,"2022-23"
