"TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GP","W","L","MIN","POINTS","DRIVE_PTS","DRIVE_FG_PCT","CATCH_SHOOT_PTS","CATCH_SHOOT_FG_PCT","PULL_UP_PTS","PULL_UP_FG_PCT","PAINT_TOUCH_PTS","PAINT_TOUCH_FG_PCT","POST_TOUCH_PTS","POST_TOUCH_FG_PCT","ELBOW_TOUCH_PTS","ELBOW_TOUCH_FG_PCT","EFF_FG_PCT","year"
"1610612737","ATL","Atlanta Hawks","82","36","46",242.1,118.3,28.3,0.476,29.5,0.376,24.8,0.412,21.9,0.613,1.7,0.495,5.7,0.588,0.539,"2023-24"
"1610612738","BOS","Boston Celtics","81","63","18",241.9,120.6,24.4,0.534,36.9,0.411,23.9,0.392,19.7,0.675,5.8,0.574,6,0.635,0.578,"2023-24"
"1610612751","BKN","Brooklyn Nets","79","32","47",241.6,110.7,31.6,0.485,31.7,0.386,19.6,0.357,18,0.646,1.2,0.607,4.3,0.582,0.532,"2023-24"
"1610612766","CHA","Charlotte Hornets","81","20","61",240.6,106.5,28.8,0.467,27.9,0.37,20.5,0.361,18.1,0.692,1.2,0.417,4.2,0.541,0.528,"2023-24"
"1610612741","CHI","Chicago Bulls","81","39","42",243.7,112.4,29.9,0.522,30.6,0.367,21,0.429,16.3,0.583,4.2,0.493,5.4,0.564,0.534,"2023-24"
"1610612739","CLE","Cleveland Cavaliers","82","48","34",241.5,112.6,25,0.474,30.9,0.387,18.8,0.379,21.7,0.678,0.8,0.375,7.4,0.578,0.557,"2023-24"
"1610612742","DAL","Dallas Mavericks","81","49","32",240.3,117.6,29.4,0.533,29.1,0.37,28.1,0.408,18.2,0.705,1.6,0.495,4.6,0.616,0.561,"2023-24"
"1610612743","DEN","Denver Nuggets","80","55","25",240.3,114.4,21.3,0.491,29.1,0.396,20.6,0.403,24.3,0.655,6.2,0.591,10.4,0.606,0.559,"2023-24"
"1610612765","DET","Detroit Pistons","81","14","67",240.9,109.7,28.7,0.473,25.5,0.356,22.4,0.398,20,0.669,1.8,0.481,5.7,0.561,0.526,"2023-24"
"1610612744","GSW","Golden State Warriors","81","46","35",241.9,117.8,22.6,0.489,33.9,0.387,22,0.393,20.2,0.638,2.6,0.5,6.3,0.615,0.558,"2023-24"
"1610612745","HOU","Houston Rockets","82","41","41",242.1,114.3,25.8,0.482,28.3,0.373,22.4,0.379,17.7,0.627,3.4,0.549,7.7,0.582,0.529,"2023-24"
"1610612754","IND","Indiana Pacers","82","47","35",240.3,123.3,33.2,0.529,31.8,0.405,21.3,0.418,23.2,0.698,2.4,0.527,7.4,0.634,0.578,"2023-24"
"1610612746","LAC","LA Clippers","81","50","31",240.3,115.7,25.5,0.495,26.1,0.403,26.9,0.41,20.2,0.662,3,0.556,6.5,0.591,0.561,"2023-24"
"1610612747","LAL","Los Angeles Lakers","81","46","35",242.2,117.9,26,0.506,28.9,0.396,18.6,0.379,21.8,0.712,4.6,0.486,7.4,0.603,0.565,"2023-24"
"1610612763","MEM","Memphis Grizzlies","82","27","55",241.2,105.8,29.7,0.468,32.1,0.361,15,0.343,14.6,0.61,2.2,0.474,5.2,0.517,0.509,"2023-24"
"1610612748","MIA","Miami Heat","82","46","36",240.9,110.1,26.3,0.49,31.3,0.379,18.1,0.393,18.5,0.637,3.7,0.491,5.5,0.507,0.538,"2023-24"
