"TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GP","W","L","MIN","POINTS","DRIVE_PTS","DRIVE_FG_PCT","CATCH_SHOOT_PTS","CATCH_SHOOT_FG_PCT","PULL_UP_PTS","PULL_UP_FG_PCT","PAINT_TOUCH_PTS","PAINT_TOUCH_FG_PCT","POST_TOUCH_PTS","POST_TOUCH_FG_PCT","ELBOW_TOUCH_PTS","ELBOW_TOUCH_FG_PCT","EFF_FG_PCT","year"
"1610612737","ATL","Atlanta Hawks","82","46","36",240.9,118.5,26.6,0.481,37.3,0.389,18.1,0.392,19.9,0.655,2.2,0.526,7.2,0.635,0.554,"2025-26"
"1610612738","BOS","Boston Celtics","82","56","26",240.6,114.9,29.4,0.516,32.3,0.383,29.2,0.398,18.4,0.669,0.9,0.439,4.2,0.686,0.553,"2025-26"
"1610612751","BKN","Brooklyn Nets","82","20","62",240.9,105.9,27.7,0.46,32.4,0.348,13.6,0.338,18.9,0.664,1,0.491,5.3,0.612,0.52,"2025-26"
"1610612766","CHA","Charlotte Hornets","82","44","38",240.9,116,28.3,0.466,36.2,0.396,21.4,0.363,18.1,0.693,1.1,0.521,4.2,0.575,0.552,"2025-26"
"1610612741","CHI","Chicago Bulls","82","31","51",240.9,116.3,30.1,0.503,37.1,0.369,12.3,0.375,16.7,0.638,1.4,0.45,6,0.574,0.547,"2025-26"
"1610612739","CLE","Cleveland Cavaliers","82","52","30",240.9,119.5,27.1,0.527,32.3,0.37,20.5,0.391,22.9,0.69,1.5,0.5,7.5,0.595,0.561,"2025-26"
"1610612742","DAL","Dallas Mavericks","82","26","56",242.1,114.1,32.3,0.481,25.9,0.359,21,0.374,18.7,0.664,1.5,0.465,6,0.586,0.527,"2025-26"
"1610612743","DEN","Denver Nuggets","82","54","28",243.1,122.1,21.2,0.507,34.9,0.417,21.1,0.411,22.4,0.645,6.1,0.569,10.2,0.62,0.577,"2025-26"
"1610612765","DET","Detroit Pistons","82","60","22",241.5,117.8,25.5,0.469,26,0.37,16.8,0.379,26.8,0.665,3.8,0.543,7.9,0.6,0.546,"2025-26"
"1610612744","GSW","Golden State Warriors","82","37","45",241.5,114.6,22.1,0.501,38.9,0.368,16.1,0.355,21.1,0.668,2,0.549,5.5,0.637,0.549,"2025-26"
"1610612745","HOU","Houston Rockets","82","52","30",242.7,115.2,27,0.512,30.1,0.376,21.9,0.415,20.2,0.609,4.6,0.566,7.4,0.579,0.542,"2025-26"
"1610612754","IND","Indiana Pacers","82","19","63",240.9,112.4,29.4,0.493,34.5,0.369,19.2,0.389,17.1,0.647,3.2,0.518,5.3,0.585,0.533,"2025-26"
"1610612746","LAC","LA Clippers","82","42","40",241.2,113.8,26.7,0.492,27.8,0.385,22.2,0.398,19.9,0.662,4.7,0.612,6.1,0.614,0.559,"2025-26"
"1610612747","LAL","Los Angeles Lakers","82","53","29",240.3,116.3,26.4,0.546,24.6,0.376,26.7,0.415,23.3,0.702,3.5,0.5,7.2,0.626,0.573,"2025-26"
"1610612763","MEM","Memphis Grizzlies","82","25","57",240.6,114.7,28.1,0.485,32.1,0.366,21.6,0.382,17.6,0.62,2.7,0.517,4.6,0.601,0.533,"2025-26"
"1610612748","MIA","Miami Heat","82","43","39",240.3,120.9,33.5,0.508,34.5,0.369,16.4,0.383,17.3,0.65,2.1,0.42,4.2,0.578,0.542,"2025-26"
"1610612749","MIL","Milwaukee Bucks","82","32","50",240.9,110.6,24.4,0.517,36.5,0.406,21.8,0.391,15.3,0.677,3.3,0.535,4.3,0.567,0.565,"2025-26"
"1610612750","MIN","Minnesota Timberwolves","82","49","33",241.2,118,29,0.51,28.5,0.388,25.4,0.395,17.4,0.683,2.6,0.512,4.6,0.644,0.559,"2025-26"
"1610612740","NOP","New Orleans Pelicans","82","26","56",241.5,115.5,34.4,0.481,24.8,0.36,16.8,0.34,18.7,0.659,2.4,0.384,4.5,0.57,0.527,"2025-26"
"1610612752","NYK","New York Knicks","82","53","29",240.9,116.5,29.6,0.497,33.5,0.387,23.8,0.404,17.2,0.669,2.2,0.471,5,0.659,0.557,"2025-26"
"1610612760","OKC","Oklahoma City Thunder","82","64","18",242.1,119,32.1,0.503,34.5,0.38,23.7,0.444,16.8,0.703,1.5,0.551,5.2,0.637,0.561,"2025-26"
"1610612753","ORL","Orlando Magic","82","45","37",241.8,115.7,30.5,0.477,27.2,0.368,19.1,0.356,19.3,0.664,2.1,0.532,5,0.548,0.531,"2025-26"
"1610612755","PHI","Philadelphia 76ers","82","45","37",242.4,115.9,28.6,0.469,28.1,0.376,22.3,0.37,16.3,0.601,2.9,0.56,4.2,0.584,0.53,"2025-26"
"1610612756","PHX","Phoenix Suns","82","45","37",240.9,112.6,25.6,0.477,30.8,0.386,28.7,0.389,17,0.614,1.3,0.473,5.4,0.631,0.537,"2025-26"
"1610612757","POR","Portland Trail Blazers","82","42","40",240.9,115.5,29.1,0.481,32.4,0.354,17.3,0.345,19.7,0.671,0.9,0.571,4.6,0.593,0.534,"2025-26"
"1610612758","SAC","Sacramento Kings","82","22","60",240.9,111,25.3,0.467,26,0.365,22.5,0.388,21.5,0.646,2.8,0.462,7.4,0.558,0.525,"2025-26"
"1610612759","SAS","San Antonio Spurs","82","62","20",240.6,119.8,31,0.527,36.3,0.386,15.7,0.372,19.6,0.704,2,0.538,5.4,0.592,0.559,"2025-26"
"1610612761","TOR","Toronto Raptors","82","46","36",241.2,114.6,25.5,0.486,32.2,0.373,17.4,0.406,21.9,0.662,2.6,0.459,8.1,0.616,0.546,"2025-26"
"1610612762","UTA","Utah Jazz","82","22","60",241.8,117.6,27.5,0.482,30.7,0.359,18.7,0.376,18.4,0.635,1.5,0.516,7.2,0.617,0.536,"2025-26"
"1610612764","WAS","Washington Wizards","82","17","65",240.9,112.9,26.1,0.464,28,0.365,25.6,0.404,19.1,0.675,1.5,0.477,6.6,0.565,0.535,"2025-26"
