"TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GP","W","L","MIN","POINTS","DRIVE_PTS","DRIVE_FG_PCT","CATCH_SHOOT_PTS","CATCH_SHOOT_FG_PCT","PULL_UP_PTS","PULL_UP_FG_PCT","PAINT_TOUCH_PTS","PAINT_TOUCH_FG_PCT","POST_TOUCH_PTS","POST_TOUCH_FG_PCT","ELBOW_TOUCH_PTS","ELBOW_TOUCH_FG_PCT","EFF_FG_PCT","year"
"1610612737","ATL","Atlanta Hawks","82","43","39",240.3,113.9,24.7,0.471,28.2,0.398,26.5,0.402,21.7,0.652,3.4,0.471,5,0.554,0.543,"2021-22"
"1610612738","BOS","Boston Celtics","81","51","30",242.8,111.8,25.7,0.491,31.5,0.372,18.8,0.371,19.6,0.683,3.4,0.495,4.6,0.546,0.541,"2021-22"
"1610612751","BKN","Brooklyn Nets","82","44","38",240.9,112.9,22.6,0.497,28,0.402,27,0.417,19.9,0.625,3.7,0.538,7.1,0.56,0.54,"2021-22"
"1610612766","CHA","Charlotte Hornets","81","43","38",242.5,115.4,28.6,0.473,32.3,0.377,19.8,0.373,18.7,0.674,1.6,0.393,6,0.638,0.544,"2021-22"
"1610612741","CHI","Chicago Bulls","82","46","36",240.6,111.6,25.2,0.513,29,0.386,24.5,0.428,15.7,0.654,4,0.51,7.3,0.572,0.541,"2021-22"
"1610612739","CLE","Cleveland Cavaliers","82","44","38",240.6,107.8,21,0.471,29.2,0.364,16.8,0.374,25.2,0.659,4.6,0.483,6.6,0.542,0.538,"2021-22"
"1610612742","DAL","Dallas Mavericks","82","52","30",240.9,108,27.1,0.53,30.4,0.362,22.8,0.382,18,0.663,3.9,0.468,4,0.554,0.538,"2021-22"
"1610612743","DEN","Denver Nuggets","82","48","34",241.5,112.7,17.5,0.506,32.5,0.375,16.6,0.379,24.8,0.674,7.9,0.587,9.3,0.658,0.556,"2021-22"
"1610612765","DET","Detroit Pistons","81","23","58",241.2,105,26,0.467,30.4,0.35,15,0.328,19.2,0.595,3.4,0.462,4.5,0.523,0.496,"2021-22"
"1610612744","GSW","Golden State Warriors","81","53","28",240.6,111.2,21.2,0.507,32.6,0.367,20.8,0.379,17.6,0.669,2.3,0.48,5.3,0.628,0.553,"2021-22"
"1610612745","HOU","Houston Rockets","82","20","62",240.9,109.7,25.2,0.483,28.5,0.355,16.3,0.335,19.2,0.67,3.6,0.541,5.9,0.558,0.534,"2021-22"
"1610612754","IND","Indiana Pacers","82","25","57",242.4,111.5,26.8,0.484,28.9,0.362,20.5,0.368,22.4,0.663,2.7,0.533,7.3,0.63,0.531,"2021-22"
"1610612746","LAC","LA Clippers","81","42","39",241.2,108.7,21.4,0.474,31.5,0.405,24.4,0.373,18.4,0.653,3.9,0.498,6.6,0.545,0.533,"2021-22"
"1610612747","LAL","Los Angeles Lakers","82","33","49",243.7,112.1,22.2,0.503,29,0.366,20.3,0.363,21.8,0.661,5.7,0.522,6,0.56,0.537,"2021-22"
"1610612763","MEM","Memphis Grizzlies","81","55","26",241.2,115.6,30.3,0.464,27.5,0.366,20.1,0.373,21,0.616,2.7,0.522,7.5,0.581,0.522,"2021-22"
"1610612748","MIA","Miami Heat","82","53","29",242.1,110,20.5,0.494,31.8,0.387,21.8,0.392,20.5,0.63,3.5,0.449,6.3,0.548,0.547,"2021-22"
"1610612749","MIL","Milwaukee Bucks","82","51","31",240.9,115.5,23.2,0.516,32.1,0.376,24,0.393,18.9,0.63,5.1,0.493,5.2,0.537,0.546,"2021-22"
