"TEAM_ID","TEAM_ABBREVIATION","TEAM_NAME","GP","W","L","MIN","POINTS","DRIVE_PTS","DRIVE_FG_PCT","CATCH_SHOOT_PTS","CATCH_SHOOT_FG_PCT","PULL_UP_PTS","PULL_UP_FG_PCT","PAINT_TOUCH_PTS","PAINT_TOUCH_FG_PCT","POST_TOUCH_PTS","POST_TOUCH_FG_PCT","ELBOW_TOUCH_PTS","ELBOW_TOUCH_FG_PCT","EFF_FG_PCT","year"
"1610612737","ATL","Atlanta Hawks","82","60","22",240.6,102.5,19.8,0.454,35.6,0.417,10.9,0.367,17.4,0.622,4.3,0.409,7.1,0.527,0.527,"2014-15"
"1610612738","BOS","Boston Celtics","82","40","42",242.4,101.4,16.4,0.44,29.1,0.377,17.1,0.364,21.6,0.602,5.4,0.422,7.1,0.533,0.489,"2014-15"
"1610612751","BKN","Brooklyn Nets","82","38","44",243.1,98,18.1,0.454,24.3,0.381,15.3,0.36,22.2,0.584,7.8,0.435,8.3,0.506,0.491,"2014-15"
"1610612766","CHA","Charlotte Hornets","82","33","49",242.7,94.2,17.5,0.413,22.5,0.364,21,0.368,13.7,0.558,8.8,0.447,5.2,0.491,0.456,"2014-15"
"1610612741","CHI","Chicago Bulls","82","50","32",242.4,100.8,19.2,0.456,26.8,0.393,15,0.358,21.2,0.557,8.5,0.432,6.3,0.452,0.489,"2014-15"
"1610612739","CLE","Cleveland Cavaliers","81","53","28",241.2,103.3,17.5,0.44,26.6,0.38,18.9,0.392,20.7,0.598,7,0.408,5.1,0.537,0.52,"2014-15"
"1610612742","DAL","Dallas Mavericks","82","50","32",242.4,105.2,20.1,0.451,29.8,0.389,17.3,0.381,18.7,0.667,5.4,0.492,7.1,0.539,0.515,"2014-15"
"1610612743","DEN","Denver Nuggets","82","30","52",242.4,101.5,17.5,0.434,24.8,0.344,16.6,0.367,22.9,0.547,5.9,0.383,7,0.472,0.479,"2014-15"
"1610612765","DET","Detroit Pistons","82","32","50",241.8,98.5,16.6,0.404,24.3,0.364,15.8,0.36,21.8,0.568,8.9,0.419,5.6,0.559,0.482,"2014-15"
"1610612744","GSW","Golden State Warriors","82","67","15",240.6,110,15,0.45,30.9,0.41,20.3,0.406,21.2,0.615,5.1,0.421,7.4,0.508,0.54,"2014-15"
"1610612745","HOU","Houston Rockets","81","55","26",241.5,103.8,16.6,0.428,28.7,0.35,12.8,0.351,19.6,0.609,7.9,0.456,5.3,0.514,0.511,"2014-15"
"1610612754","IND","Indiana Pacers","82","38","44",242.1,97.3,13.8,0.418,30.8,0.396,13.7,0.364,20.5,0.579,9.2,0.427,6.2,0.459,0.484,"2014-15"
"1610612746","LAC","Los Angeles Clippers","82","56","26",240.6,106.7,13.4,0.449,30.7,0.399,23.4,0.417,19.3,0.654,6,0.439,7.3,0.567,0.533,"2014-15"
"1610612747","LAL","Los Angeles Lakers","82","21","61",243.1,98.5,15.8,0.411,22.9,0.374,21.1,0.354,21.7,0.594,7.7,0.432,8.2,0.471,0.473,"2014-15"
"1610612763","MEM","Memphis Grizzlies","82","55","27",242.7,98.3,15,0.427,22.1,0.374,14.7,0.382,23.7,0.572,13.8,0.444,9,0.512,0.489,"2014-15"
"1610612748","MIA","Miami Heat","81","36","45",240.6,94.6,17.4,0.457,24.5,0.373,14.7,0.373,19.6,0.627,7.7,0.466,6.7,0.506,0.499,"2014-15"
"1610612749","MIL","Milwaukee Bucks","81","40","41",243.1,97.9,17.4,0.436,26,0.399,15.3,0.377,19.9,0.565,4.1,0.431,7.4,0.521,0.5,"2014-15"
"1610612750","MIN","Minnesota Timberwolves","81","16","65",241.5,97.7,13.6,0.418,21.6,0.372,16.2,0.358,23.4,0.575,11.2,0.412,9,0.477,0.467,"2014-15"
"1610612740","NOP","New Orleans Pelicans","82","45","37",241.2,99.4,20.7,0.444,26.3,0.414,13.2,0.347,21.7,0.595,5.9,0.458,7.2,0.502,0.501,"2014-15"
"1610612752","NYK","New York Knicks","81","17","64",242.2,92,12.1,0.421,31.1,0.393,15.5,0.365,16,0.524,9.5,0.438,9.9,0.503,0.47,"2014-15"
"1610612760","OKC","Oklahoma City Thunder","82","45","37",241.8,104,19.1,0.438,24.8,0.37,19.2,0.38,20.4,0.579,5.4,0.478,6.7,0.533,0.492,"2014-15"
"1610612753","ORL","Orlando Magic","82","25","57",240.9,95.7,18.8,0.412,25.2,0.383,12.8,0.369,20.1,0.621,6.6,0.425,6.1,0.543,0.494,"2014-15"
"1610612755","PHI","Philadelphia 76ers","82","18","64",241.5,92,19.9,0.401,26.8,0.338,8.7,0.286,17.6,0.565,3.8,0.359,4.5,0.425,0.459,"2014-15"
"1610612756","PHX","Phoenix Suns","82","39","43",242.4,102.4,18.3,0.446,25.9,0.366,19.7,0.385,17.7,0.586,7.1,0.453,5.9,0.487,0.501,"2014-15"
"1610612757","POR","Portland Trail Blazers","82","51","31",242.1,102.8,14.1,0.467,31.1,0.39,20.6,0.378,17.1,0.593,10.2,0.455,6.3,0.484,0.508,"2014-15"
"1610612758","SAC","Sacramento Kings","82","29","53",242.1,101.3,19.6,0.443,19.4,0.358,16.3,0.402,21.1,0.563,10.3,0.466,6.7,0.514,0.49,"2014-15"
"1610612759","SAS","San Antonio Spurs","82","55","27",243.4,103.2,19,0.472,27.4,0.395,15.4,0.381,22.5,0.614,8.7,0.474,6.4,0.486,0.517,"2014-15"
"1610612761","TOR","Toronto Raptors","82","49","33",242.1,104,20,0.456,22.6,0.384,21.4,0.364,20.3,0.622,5.6,0.454,5.3,0.544,0.508,"2014-15"
"1610612762","UTA","Utah Jazz","82","38","44",240.3,95.1,15.6,0.383,24.9,0.365,13.4,0.352,22.9,0.646,4.7,0.428,7.8,0.486,0.494,"2014-15"
"1610612764","WAS","Washington Wizards","82","46","36",243.4,98.5,12.8,0.448,26.9,0.393,16.1,0.366,21.2,0.591,8,0.414,7.9,0.516,0.499,"2014-15"
